Zone;Distance (km)
Afghanistan;5590
Afrique du Sud;9354
Albanie;1604
Algérie;1340
Allemagne;440
Andorre;712
Angola;6510
Anguilla;6711
Antigua-et-Barbuda;6709
Arabie saoudite;4695
Argentine;11072
Arménie;3434
Aruba;7686
Australie;16975
Autriche;1035
Azerbaïdjan;3818
Bahamas;7209
Bahreïn;4843
Bangladesh;7917
Barbade;6882
Belgique;262
Belize;8664
Bermudes;5764
Bhoutan;7569
Bolivie (État plurinational de);10038
Bosnie-Herzégovine;1352
Botswana;8523
Brunéi Darussalam;11219
Brésil;9408
Bulgarie;1761
Burkina Faso;4083
Burundi;6372
Bélarus;1824
Bénin;4727
Cabo Verde;4452
Cambodge;9948
Cameroun;5086
Canada;6005
Chili;11663
Chine - RAS de Hong-Kong;9639
Chine - RAS de Macao;9602
Chine;8225
Chypre;2955
Colombie;8708
Comores;7843
Congo;6041
Costa Rica;8919
Croatie;1082
Cuba;7729
Curaçao;7597
Côte d'Ivoire;4884
Danemark;1028
Djibouti;5595
Dominique;6826
El Salvador;8984
Espagne;1055
Estonie;1859
Eswatini;12554
Fidji;16595
Finlande;1911
France;278
Fédération de Russie;2494
Gabon;5439
Gambie;4308
Ghana;4827
Grenade;7120
Groenland;3585
Grèce;2099
Guatemala;9001
Guinée;4692
Guinée équatoriale;5059
Guinée-Bissau;4441
Guyana;7320
Géorgie;3373
Haïti;7361
Honduras;8810
Hongrie;1247
Inde;6594
Indonésie;11584
Iran (République islamique d');4218
Iraq;3867
Irlande;778
Islande;2235
Israël;3282
Italie;1110
Jamaïque;7735
Japon;9726
Jordanie;3371
Kazakhstan;5562
Kenya;6491
Kirghizistan;5425
Kiribati;14371
Koweït;4415
Lesotho;9054
Lettonie;1705
Liban;3197
Libye;2008
Libéria;4892
Liechtenstein;774
Lituanie;1700
Luxembourg;289
Macédoine du Nord;1672
Madagascar;8763
Malaisie;10436
Malawi;7651
Maldives;8294
Mali;4140
Malte;1753
Maroc;1817
Maurice;9423
Mauritanie;3795
Mexique;9207
Micronésie (États fédérés de);13024
Monaco;955
Mongolie;7053
Montserrat;6772
Monténégro;1450
Mozambique;8856
Myanmar;8539
Namibie;8085
Nauru;14455
Nicaragua;8907
Niger;3933
Nigéria;4722
Nioué;16640
Norvège;1343
Nouvelle-Calédonie;16758
Nouvelle-Zélande;19264
Népal;7244
Oman;5620
Ouganda;6129
Ouzbékistan;5153
Pakistan;5933
Palaos;12241
Palestine;3303
Panama;8671
Papouasie-Nouvelle-Guinée;14566
Paraguay;10169
Pays-Bas;428
Philippines;10752
Pologne;1368
Polynésie française;15724
Porto Rico;6916
Portugal;1453
Pérou;10268
Qatar;4982
Roumanie;1875
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord;343
Rwanda;6253
République arabe syrienne;3281
République centrafricaine;5186
République de Corée;8784
République de Moldova;1977
République dominicaine;7179
République démocratique du Congo;6041
République démocratique populaire lao;9246
République populaire démocratique de Corée;8784
République-Unie de Tanzanie;7168
Saint-Kitts-et-Nevis;6761
Saint-Marin;951
Saint-Vincent-et-les Grenadines;6990
Sainte-Lucie;6904
Samoa;16012
Samoa américaines;16012
Sao Tomé-et-Principe;5433
Serbie;1450
Seychelles;7855
Sierra Leone;4724
Singapour;10748
Sint Maarten (partie néerlandaise);6676
Slovaquie;1095
Slovénie;966
Somalie;6623
Soudan;4612
Soudan du Sud;4612
Sri Lanka;8526
Suisse;436
Suriname;7197
Suède;1546
Sénégal;4217
Tadjikistan;5292
Tchad;4248
Tchéquie;885
Thaïlande;9455
Timor-Leste;13129
Togo;4753
Tokélaou;15565
Tonga;16941
Trinité-et-Tobago;7225
Tunisie;1484
Turkménistan;4581
Turquie;2256
Tuvalu;15532
Ukraine;2025
Uruguay;10972
Vanuatu;16346
Venezuela (République bolivarienne du);7619
Viet Nam;9209
Yémen;5317
Zambie;7605
Zimbabwe;7950
Égypte;3215
Émirats arabes unis;5250
Équateur;9367
Érythrée;4993
États-Unis d'Amérique;5838
Éthiopie;5583
Îles Caïmanes;7961
Îles Cook;16569
Îles Marshall;13705
Îles Salomon;15178
Îles Turques-et-Caïques;7041
Îles Vierges britanniques;6805
Chine, Taiwan Province de;9911
Chine, continentale;8212
