Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","566.75769","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","6210.273812","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","5129.722666","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","4077.593095","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","49335.792965","Fc","Donnée calculée",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","42080.55769","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","3176.650508","Fc","Donnée calculée",""
"MK","Indicateurs macro","258","Anguilla","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","19498.213483","Fc","Donnée calculée",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","15697.965105","Fc","Donnée calculée",""
"MK","Indicateurs macro","194","Arabie saoudite","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","23554.055901","Fc","Donnée calculée",""
"MK","Indicateurs macro","9","Argentine","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","11209.057992","Fc","Donnée calculée",""
"MK","Indicateurs macro","1","Arménie","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","4292.647238","Fc","Donnée calculée",""
"MK","Indicateurs macro","22","Aruba","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","28398.157604","Fc","Donnée calculée",""
"MK","Indicateurs macro","10","Australie","6119","Valeur (US $)","22039","Revenu national brut par habitant","2018","2018","","56682.672393","Fc","Donnée calculée",""
