Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TI","Indices commerciaux","2","Afghanistan","64","Valeur des importations - Quantité période de référence","2074","Viande de Volailles","2018","2018","1000 $","35617","Fc","Donnée calculée"
"TI","Indices commerciaux","2","Afghanistan","65","Valeur des importations - Prix période de référence","2074","Viande de Volailles","2018","2018","1000 $","30687","Fc","Donnée calculée"
"TI","Indices commerciaux","202","Afrique du Sud","64","Valeur des importations - Quantité période de référence","2074","Viande de Volailles","2018","2018","1000 $","395050","Fc","Donnée calculée"
"TI","Indices commerciaux","202","Afrique du Sud","65","Valeur des importations - Prix période de référence","2074","Viande de Volailles","2018","2018","1000 $","466884","Fc","Donnée calculée"
"TI","Indices commerciaux","202","Afrique du Sud","94","Valeur des exportations - Quantité période de référence","2074","Viande de Volailles","2018","2018","1000 $","112322","Fc","Donnée calculée"
"TI","Indices commerciaux","202","Afrique du Sud","95","Valeur des exportations - Prix période de référence","2074","Viande de Volailles","2018","2018","1000 $","60705","Fc","Donnée calculée"
"TI","Indices commerciaux","3","Albanie","64","Valeur des importations - Quantité période de référence","2074","Viande de Volailles","2018","2018","1000 $","19921","Fc","Donnée calculée"
"TI","Indices commerciaux","3","Albanie","65","Valeur des importations - Prix période de référence","2074","Viande de Volailles","2018","2018","1000 $","14977","Fc","Donnée calculée"
"TI","Indices commerciaux","4","Algérie","64","Valeur des importations - Quantité période de référence","2074","Viande de Volailles","2018","2018","1000 $","1","Fc","Donnée calculée"
"TI","Indices commerciaux","4","Algérie","65","Valeur des importations - Prix période de référence","2074","Viande de Volailles","2018","2018","1000 $","270","Fc","Donnée calculée"
"TI","Indices commerciaux","4","Algérie","94","Valeur des exportations - Quantité période de référence","2074","Viande de Volailles","2018","2018","1000 $","831","Fc","Donnée calculée"
"TI","Indices commerciaux","4","Algérie","95","Valeur des exportations - Prix période de référence","2074","Viande de Volailles","2018","2018","1000 $","39","Fc","Donnée calculée"
