Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","511","Population totale","2501","Population","2014","2014","1000 personnes","33371","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","511","Population totale","2501","Population","2018","2018","1000 personnes","37172","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","1888","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1849","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","46.07","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","44.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","206","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","191","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","12.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","10.79","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","511","Population totale","2501","Population","2014","2014","1000 personnes","54544","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","511","Population totale","2501","Population","2018","2018","1000 personnes","57793","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","2500","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2420","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","48.52","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","48.33","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","476","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","479","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","36.93","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","36.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","511","Population totale","2501","Population","2014","2014","1000 personnes","2896","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","511","Population totale","2501","Population","2018","2018","1000 personnes","2883","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","2328","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2357","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","53.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","54","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","938","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1003","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","56.2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","61.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","511","Population totale","2501","Population","2014","2014","1000 personnes","38924","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","511","Population totale","2501","Population","2018","2018","1000 personnes","42228","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","2932","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2932","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","67.14","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","67.1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","444","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","390","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","27.76","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","24.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","511","Population totale","2501","Population","2014","2014","1000 personnes","81450","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","511","Population totale","2501","Population","2018","2018","1000 personnes","83124","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","2472","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2468","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","41.28","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.37","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","1070","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","1086","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","62.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","64.03","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","511","Population totale","2501","Population","2014","2014","1000 personnes","26942","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","511","Population totale","2501","Population","2018","2018","1000 personnes","30810","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","2142","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2177","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","35.65","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","36.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","276","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","208","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","22.28","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","16.31","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2014","2014","1000 personnes","93","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2018","2018","1000 personnes","96","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","1655","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","1705","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","28.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","28.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","745","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","740","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","51.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2018","2018","g/personne/jour","51.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","511","Population totale","2501","Population","2014","2014","1000 personnes","30917","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","511","Population totale","2501","Population","2018","2018","1000 personnes","33703","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2014","2014","Kcal/personne/jour","2774","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2903","Produits Vegetaux","2018","2018","Kcal/personne/jour","2859","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2014","2014","g/personne/jour","53.92","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","54.2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2014","2014","Kcal/personne/jour","500","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2018","2018","Kcal/personne/jour","448","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2014","2014","g/personne/jour","37.24","Fc","Donnée calculée"
