,Zone,Code zone,Année,Produit,Code Produit,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Exportations - Quantité,Importations - Quantité,Population totale,Production,Réserves,Stabilité politique,Revenu National Brut/hbt
0,Afghanistan,2,2014,Population,2501,0,0.0,0,0,33371,0,0,0.0,0.0
1,Afghanistan,2,2014,Produits Animaux,2941,206,12.11,0,0,0,0,0,0.0,0.0
2,Afghanistan,2,2014,Produits Vegetaux,2903,1888,46.07,0,0,0,0,0,0.0,0.0
3,Afghanistan,2,2018,Population,2501,0,0.0,0,0,37172,0,0,0.0,0.0
4,Afghanistan,2,2018,Poulets,1057,0,0.0,0,0,0,0,14170,0.0,0.0
5,Afghanistan,2,2018,Produits Animaux,2941,191,10.79,0,0,0,0,0,0.0,0.0
6,Afghanistan,2,2018,Produits Vegetaux,2903,1849,44.73,0,0,0,0,0,0.0,0.0
7,Afghanistan,2,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,566.75769
8,Afghanistan,2,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-2.75,0.0
9,Afghanistan,2,2018,Viande de Volailles,2734,0,0.0,0,25,0,29,0,0.0,0.0
10,Afrique du Sud,202,2014,Population,2501,0,0.0,0,0,54544,0,0,0.0,0.0
11,Afrique du Sud,202,2014,Produits Animaux,2941,476,36.93,0,0,0,0,0,0.0,0.0
12,Afrique du Sud,202,2014,Produits Vegetaux,2903,2500,48.52,0,0,0,0,0,0.0,0.0
13,Afrique du Sud,202,2018,Population,2501,0,0.0,0,0,57793,0,0,0.0,0.0
14,Afrique du Sud,202,2018,Poulets,1057,0,0.0,0,0,0,0,172396,0.0,0.0
15,Afrique du Sud,202,2018,Produits Animaux,2941,479,36.03,0,0,0,0,0,0.0,0.0
16,Afrique du Sud,202,2018,Produits Vegetaux,2903,2420,48.33,0,0,0,0,0,0.0,0.0
17,Afrique du Sud,202,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,6210.273811999999
18,Afrique du Sud,202,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,-0.28,0.0
19,Afrique du Sud,202,2018,Viande de Volailles,2734,0,0.0,48,515,0,1762,0,0.0,0.0
20,Albanie,3,2014,Population,2501,0,0.0,0,0,2896,0,0,0.0,0.0
21,Albanie,3,2014,Produits Animaux,2941,938,56.2,0,0,0,0,0,0.0,0.0
22,Albanie,3,2014,Produits Vegetaux,2903,2328,53.38,0,0,0,0,0,0.0,0.0
23,Albanie,3,2018,Population,2501,0,0.0,0,0,2883,0,0,0.0,0.0
24,Albanie,3,2018,Poulets,1057,0,0.0,0,0,0,0,7272,0.0,0.0
25,Albanie,3,2018,Produits Animaux,2941,1003,61.75,0,0,0,0,0,0.0,0.0
26,Albanie,3,2018,Produits Vegetaux,2903,2357,54.0,0,0,0,0,0,0.0,0.0
27,Albanie,3,2018,Revenu national brut par habitant,22039,0,0.0,0,0,0,0,0,0.0,5129.722666
28,Albanie,3,2018,Stabilité politique et absence de violence/terrorisme (indice),21032,0,0.0,0,0,0,0,0,0.38,0.0
29,Albanie,3,2018,Viande de Volailles,2734,0,0.0,0,12,0,16,0,0.0,0.0
